symbol,name,industry,sector,market_cap,exchange
SANWARIA,Sanwaria Consumer Limited,Farm Products,Consumer Defensive,368049984,BSE
PRIMAGR,Prima Agro Limited,Unknown,Unknown,135482992,BSE
TARAI,Tarai Foods Limited,Unknown,Unknown,166466864,BSE
MODAIRY,Modern Dairies Limited,Unknown,Unknown,1382170496,BSE
BAMBINO,Bambino Agro Industries Limited,Unknown,Unknown,3197933824,BSE
PRIMIND,Prime Industries Ltd.,Unknown,Unknown,2672035328,BSE
VIKASWSP,Vikas WSP Limited,Unknown,Unknown,331192800,BSE
VSFPROJ,VSF Projects Limited,Unknown,Unknown,337464640,BSE
BANSTEA,Unknown,Unknown,Unknown,0,BSE
POONADAL,Unknown,Unknown,Unknown,496596000,BSE
TRANSFD,Transglobe Foods Limited,Unknown,Unknown,19785412,BSE
ANIKINDS,Anik Industries Limited,Food Distribution,Consumer Defensive,2116204416,BSE
SHINDL,Sharat Industries Limited,Unknown,Unknown,1052637760,BSE
DATIWARE,Unknown,Unknown,Unknown,0,BSE
KMGMILK,Unknown,Unknown,Unknown,0,BSE
KSE,KSE Limited,Unknown,Unknown,7720479744,BSE
NARBADA,Narbada Gems and Jewellery Limited,Unknown,Unknown,606729984,BSE
VIRATCRA,Virat Crane Industries Limited,Unknown,Unknown,1477253504,BSE
IBINFO,IB Infotech Enterprises Limited,Unknown,Unknown,226047072,BSE
AMBARPIL,Ambar Protein Industries Limited,Unknown,Unknown,0,BSE
CHORDIA,Chordia Food Products Limited,Unknown,Unknown,354647136,BSE
CIANAGRO,CIAN Agro Industries & Infrastructure Limited,Unknown,Unknown,4820571136,BSE
OMEAG,Unknown,Unknown,Unknown,0,BSE
TAIIND,Tai Industries Limited,Unknown,Unknown,234300000,BSE
NKIND,N.K Industries Limited,Household & Personal Products,Consumer Defensive,309449760,BSE
BKV,BKV Industries Limited,Unknown,Unknown,204384976,BSE
NCCBLUE,NCC Bluewater Products Limited,Unknown,Unknown,205220000,BSE
NORBTEAEXP,Norben Tea & Exports Limited,Farm Products,Consumer Defensive,263199600,BSE
ASIANTNE,Asian Tea and Exports Ltd.,Unknown,Unknown,146700000,BSE
HERITGFOOD,Heritage Foods Limited,Packaged Foods,Consumer Defensive,59746701312,BSE
SIMRAN,Simran Farms Limited,Unknown,Unknown,798152832,BSE
HINDUST,Unknown,Unknown,Unknown,0,BSE
CCL,CCL Products (India) Limited,Packaged Foods,Consumer Defensive,92605030400,BSE
KELLTONTEC,Kellton Tech Solutions Limited,Software—Application,Technology,14338839552,BSE
SURFI,Suryo Foods & Industries Limited,Unknown,Unknown,69220800,BSE
INTEGFD,Integrated Proteins Limited,Unknown,Unknown,0,BSE
MAHAANF,Mahaan Foods Limited,Unknown,Unknown,227545504,BSE
RICOAUTO,Rico Auto Industries Limited,Auto Parts,Consumer Cyclical,15375139840,BSE
OMAXAUTO,Omax Autos Limited,Auto Parts,Consumer Cyclical,2741967104,BSE
MUNJALSHOW,Munjal Showa Limited,Auto Parts,Consumer Cyclical,6811148800,BSE
JAMNAAUTO,Jamna Auto Industries Limited,Auto Parts,Consumer Cyclical,47514587136,BSE
TVSHLTD,TVS Holdings Limited,Auto Parts,Consumer Cyclical,279183753216,BSE
JTEKTINDIA,JTEKT India Limited,Auto Parts,Consumer Cyclical,44905848832,BSE
MUNJALAU,Munjal Auto Industries Limited,Auto Parts,Consumer Cyclical,12519999488,BSE
JAYBARMARU,Jay Bharat Maruti Limited,Auto Parts,Consumer Cyclical,11003612160,BSE
RACLGEAR,RACL Geartech Limited,Unknown,Unknown,11141166080,BSE
SAMKRG,Samkrg Pistons and Rings Limited,Unknown,Unknown,1855583488,BSE
ECSTSTL,Eastcoast Steel Limited,Unknown,Unknown,0,BSE
RATNAMANI,Ratnamani Metals & Tubes Limited,Steel,Basic Materials,257980628992,BSE
VESUVIUS,Vesuvius India Limited,Specialty Industrial Machinery,Industrials,109987610624,BSE
ASAL,Automotive Stampings and Assemblies Limited,Auto Parts,Consumer Cyclical,12393269248,BSE
ARCEEIN,Arcee Industries Limited,Unknown,Unknown,32836804,BSE
ABCINDQ,ABC India Limited,Unknown,Unknown,693947200,BSE
BALTE,Balurghat Technologies Limited,Unknown,Unknown,522885984,BSE
COARO,Coastal Roadways Limited,Unknown,Unknown,162379296,BSE
SIBARAUT,Sibar Auto Parts Limited,Unknown,Unknown,198466448,BSE
SHREYAS,Shreyas Shipping and Logistics Limited,Marine Shipping,Industrials,7763074048,BSE
STARLOG,Starlog Enterprises Limited,Unknown,Unknown,643824576,BSE
SHVSUIT,Unknown,Unknown,Unknown,0,BSE
TITANIN,Unknown,Unknown,Unknown,0,BSE
EUROTEXIND,Eurotex Industries and Exports Limited,Real Estate—Development,Real Estate,150497600,BSE
ICIL,Indo Count Industries Limited,Textile Manufacturing,Consumer Cyclical,75884388352,BSE
MARALOVER,Maral Overseas Limited,Textile Manufacturing,Consumer Cyclical,3101477888,BSE
SOMATEX,Soma Textiles & Industries Limited,Textile Manufacturing,Consumer Cyclical,1295884544,BSE
ADVLIFE,Advance Lifestyles Limited,Unknown,Unknown,0,BSE
KAKTEX,Kakatiya Textiles Limited,Unknown,Unknown,122371232,BSE
OCTAVE,Perfect Octave Media Projects Limited,Unknown,Unknown,170724496,BSE
TRIDENT,Trident Limited,Textile Manufacturing,Consumer Cyclical,186139983872,BSE
HISARSP,Hisar Spinning Mills Limited,Unknown,Unknown,267650112,BSE
ALOKINDS,Unknown,Textile Manufacturing,Consumer Cyclical,135253131264,BSE
PASARI,Pasari Spinning Mills Limited,Unknown,Unknown,151800000,BSE
AMARJOTHI,Amarjothi Spinning Mills Limited,Unknown,Unknown,1472849920,BSE
OLYMPTX,Olympia Industries Limited,Unknown,Unknown,309491040,BSE
NAGREEKEXP,Nagreeka Exports Limited,Textile Manufacturing,Consumer Cyclical,1281842176,BSE
SUDTIND-B,Suditi Industries Limited,Unknown,Unknown,369864896,BSE
SBFL,Shree Bhavya Fabrics Limited,Unknown,Unknown,236454992,BSE
GEMSPIN,Gem Spinners India Limited,Unknown,Unknown,0,BSE
EUREKAI,Eureka Industries Limited,Unknown,Unknown,0,BSE
ADITYASP,Aditya Spinners Limited,Unknown,Unknown,462718464,BSE
PRIMEURB,Prime Urban Development India Limited,Unknown,Unknown,0,BSE
